unique_id,name,firstname,title,namesuffix,fblink1,fblink2,twlink,isListed,list_place,isDC,constituency,constituency_str,state,renewed_candidacy,party,sex,age,residence,birthplace,profession
1519,Glathe-Braun,Eva-Maria,NA,NA,https://www.facebook.com/evamaria.glathe,NA,https://twitter.com/EvaMariaGlathe,0,NA,1,291,Ulm,8,0,3,0,1958,Ulm,Rostock,Souffleuse
1520,Neudorfer,Reinhard,NA,NA,NA,NA,NA,0,NA,1,264,Waiblingen,8,0,3,1,1946,Waiblingen,München,Rehabilitationsberater i. R.
1521,Bausch,Patrick,NA,NA,https://www.facebook.com/PatrickBauschLinkeVS/,NA,https://twitter.com/TLastInquisitor,0,NA,1,286,Schwarzwald-Baar,8,0,3,1,1996,Heidelberg,Villingen-Schwenningen,freier Journalist
1522,Stürtz,Heinrich,NA,NA,NA,NA,NA,0,NA,1,277,Rhein-Neckar,8,0,3,1,1949,Wiesloch,Köppern,Rechtsanwalt
1523,Binder,Karin,NA,NA,https://www.facebook.com/KarinBinderMdB,https://www.facebook.com/karinbinder.buro,https://twitter.com/karinbinder,0,NA,1,284,Offenburg,8,1,3,0,1957,Karlsruhe,Bad Cannstatt,MdB / Gewerkschaftssekretärin
1524,Weidel,Alice,NA,NA,https://www.facebook.com/aliceweidel,https://www.facebook.com/profile.php?id=100009527090737,https://twitter.com/alice_weidel,1,1,1,293,Bodensee,8,0,7,0,1979,Überlingen,Gütersloh,Beraterin von Start-Up-Unternehmen
1525,Maier,Lothar,Prof. Dr.,NA,https://www.facebook.com/prof.lotharmaier,NA,https://twitter.com/ProfMaier,1,2,1,259,Stuttgart II,8,0,7,1,1944,Stuttgart,Wolfach,Hochschullehrer
1526,Jongen,Marc Stephan,Dr.,NA,https://www.facebook.com/Dr.MarcJongen/,NA,https://twitter.com/Marc_Jongen,1,3,1,266,Neckar-Zaber,8,0,7,1,1968,Karlsruhe,Meran,akadem. Mitarbeiter
1527,Frohnmaier,Markus,NA,NA,https://www.facebook.com/frohnmaier,NA,https://twitter.com/Frohnmaier_AfD,1,4,1,260,Böblingen,8,0,7,1,1991,Weil der Stadt,Craiova,Pressesprecher
1528,Seitz,Thomas,NA,NA,www.facebook.com/Thomas.Seitz.AfD,NA,https://twitter.com/ThomasSeitzAfD,1,5,1,283,Emmendingen – Lahr,8,0,7,1,1967,Lahr/Schwarzwald,Ettenheim,Rechtsassessor
1529,Braun,Jürgen,NA,NA,NA,NA,NA,1,6,1,264,Waiblingen,8,0,7,1,1961,Kirchberg an der Murr,Bergneustadt,Kommunikationsberater
1530,Hess,Martin Alexander,NA,NA,https://www.facebook.com/Martin.Hess.AfD,NA,https://twitter.com/Martin_Hess_AfD,1,7,1,265,Ludwigsburg,8,0,7,1,1971,Bietigheim-Bissingen,Hechingen,Polizeibeamter
1531,Münz,Volker,NA,NA,www.facebook.com/vmuenz,NA,NA,1,8,1,263,Göppingen,8,0,7,1,1964,Uhingen,Verden (Aller),Bankkaufmann
1532,Bernhard,Marc,NA,NA,www.facebook.com/MarcBernhardAfD,NA,https://twitter.com/MarcBernhardAfD,1,9,1,271,Karlsruhe-Stadt,8,0,7,1,1972,Karlsruhe,Reutlingen,Rechtsanwalt / Geschäftsführer
1533,Spaniel,Dirk,Dr.,NA,www.facebook.com/spaniel.afd,NA,https://twitter.com/dirkspaniel,1,10,1,258,Stuttgart I,8,0,7,1,1971,Stuttgart,Marburg,Dipl.-Ingenieur
1534,Gminder,Franziska,NA,NA,https://www.facebook.com/profile.php?id=100015666973516,https://www.facebook.com/FGminder/,NA,1,11,0,NA,NA,8,0,7,0,1945,Heilbronn,Gablonz an der Neiße,Dipl.-Kauffrau
1535,Senger,Joachim,NA,NA,NA,NA,NA,1,12,1,286,Schwarzwald-Baar,8,0,7,1,1949,Donaueschingen,Reutlingen,Unternehmensberater i. R.
1536,Zeller,Jens,Dr.,NA,NA,NA,NA,1,13,0,NA,NA,8,0,7,1,1944,Heidelberg,Riesa,Arzt / wiss. Angestellter i. R.
1537,Kuhs,Joachim,NA,NA,https://www.facebook.com/jhkuhs,NA,https://twitter.com/joachim_kuhs,1,14,1,273,Rastatt,8,0,7,1,1956,Baden-Baden,Schonach,Referatsleiter
1538,Anhorn,Jens,NA,NA,www.facebook.com/profile.php?id=100008546642939,NA,NA,1,15,0,NA,NA,8,0,7,1,1980,Sindelfingen,Böblingen,Bankkaufmann
1539,Hirt,Wolfram,NA,NA,www.facebook.com/wolfram.hirt.afd,NA,https://twitter.com/WolframHirt,1,16,1,289,Reutlingen,8,0,7,1,1962,Walddorfhäslach,Radolfzell,selbständig
1540,Gruber,Thomas,NA,NA,NA,NA,NA,1,17,0,NA,NA,8,0,7,1,1966,Philippsburg,Frankfurt am Main,Dipl.-Ingenieur (FH)
1541,Schwäbsch,Walter,NA,NA,www.facebook.com/AfDWalterSchwaebsch,NA,NA,1,18,1,287,Konstanz,8,0,7,1,1952,Schönaich,Stuttgart,Dipl.-Geograph
1542,Köthe,Stephan,NA,NA,NA,NA,NA,1,19,1,261,Esslingen,8,0,7,1,1966,Esslingen am Neckar,Esslingen am Neckar,Informatiker
1543,Köhler,Achim,NA,NA,https://www.facebook.com/koehlerafd,NA,NA,1,20,1,277,Rhein-Neckar,8,0,7,1,1964,St. Leon-Rot,Walldorf,Angestellter im ö. D.
1544,Dennenmoser,Simon,NA,NA,https://www.facebook.com/Simon-Dennenmoser-AfD-645508692306293,NA,https://twitter.com/SimonDennen,1,21,0,NA,NA,8,0,7,1,1991,Göppingen,Dillingen a.d.Donau,Beamter
1545,Kempf,Martina,NA,NA,NA,NA,NA,1,22,0,NA,NA,8,0,7,0,1964,Breisach am Rhein,Wertheim,Juristin
1546,Schmidt,Paul,Dr.,NA,NA,NA,https://twitter.com/PaulSch72969276,1,23,0,NA,NA,8,0,7,1,1966,Karlsruhe,Karlsruhe,Biophysiker / Angestellter
1547,Gremminger,Wolfgang Peter,NA,NA,https://www.facebook.com/profile.php?id=100013314070189,www.facebook.com/wp.gremminger,NA,1,24,0,NA,NA,8,0,7,1,1964,Pforzheim,Pforzheim,Architekt
1548,Hoffmann,Reimond,NA,NA,www.facebook.com/reimond.e.hoffmann,NA,NA,1,25,1,285,Rottweil – Tuttlingen,8,0,7,1,1987,Umkirch,Arad,Betriebswirt
1549,Burkart,Uwe,NA,NA,NA,NA,NA,1,26,1,280,Calw,8,0,7,1,1963,Calw,Lippstadt,kfm. Angestellter
1550,Rothweiler,Martin,NA,NA,www.facebook.com/rothweiler.martin,https://www.facebook.com/martin-rothweiler-afd-1895458617396005,NA,1,27,0,NA,NA,8,0,7,1,1978,Villingen-Schwenningen,Schorndorf,Betriebswirt
1551,Siebold,Nadine,NA,NA,www.facebook.com/nadine.siebold.9,NA,NA,1,28,0,NA,NA,8,0,7,0,1981,Küssaberg,Waldshut-Tiengen,Geschäftsführerin
1552,Kempf,Timm,NA,NA,NA,NA,NA,1,29,0,NA,NA,8,0,7,1,1941,Karlsruhe,Karlsruhe,Kaufmann
1553,Laitenberger,Andreas,NA,NA,https://www.facebook.com/a.laitenberger,NA,NA,1,30,0,NA,NA,8,0,7,1,1987,Bretten,Tschirtschik,selbst. Immobilienvermittler
